Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1
1,0.0,0.0,1.0,280199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40572.0,1,1965.0,9.0,3073.0,31.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0
1,2.0,1.0,2.0,280103.0,30.0,280106.0,30.0,280203.0,40.0,0.0,0.0,0.0,0.0,700103.0,50.0,700102.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9067.0,1,1960.0,7.0,2538.0,25.0,1.0,2.0,0.0,0.0,6.0,12.0,2.0,2.0
1,29.0,2.0,1.0,321004.0,60.0,321216.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,60.0,730207.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5967.0,1,1955.0,7.0,2923.0,25.0,1.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0
1,40.0,2.0,3.0,270602.0,50.0,320602.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,70.0,730201.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,78782.0,2,1955.0,7.0,2678.0,25.0,1.0,3.0,0.0,0.0,0.0,3.0,13.0,3.0
0,59.0,1.0,1.0,260500.0,34.0,280000.0,33.0,290000.0,33.0,0.0,0.0,0.0,0.0,770199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13042.0,1,1965.0,1.0,2153.0,19.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
1,4.0,1.0,0.0,321204.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301472.0,1,1950.0,7.0,2533.0,25.0,1.0,4.0,2.0,0.0,7.0,27.0,27.0,6.0
0,2.0,1.0,0.0,270708.0,50.0,270203.0,30.0,270401.0,20.0,0.0,0.0,0.0,0.0,770703.0,60.0,770706.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,74292.0,1,1960.0,7.0,3028.0,31.0,1.0,5.0,0.0,0.0,8.0,5.0,2.0,0.0
0,28.0,3.0,1.0,321405.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730303.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1642.0,1,1965.0,7.0,2563.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
1,2.0,1.0,4.0,260108.0,50.0,260109.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,780104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,1,1945.0,7.0,3123.0,31.0,1.0,3.0,0.0,0.0,8.0,1.0,11.0,0.0
1,2.0,1.0,5.0,230111.0,60.0,230112.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,740301.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67272.0,1,1965.0,7.0,3098.0,31.0,1.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0
0,136.0,3.0,0.0,270603.0,20.0,321003.0,30.0,321012.0,50.0,0.0,0.0,0.0,0.0,730106.0,30.0,730115.0,50.0,730116.0,20.0,0.0,0.0,0.0,0.0,1797.0,1,1960.0,4.0,2678.0,25.0,1.0,3.0,2.0,7.0,0.0,8.0,4.0,0.0
1,4.0,1.0,0.0,320702.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73882.0,1,1960.0,0.0,2713.0,25.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0
0,0.0,0.0,0.0,291599.0,51.0,239901.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,730199.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38457.0,1,1970.0,7.0,2153.0,19.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0
1,2.0,1.0,0.0,280203.0,40.0,280106.0,30.0,280103.0,30.0,0.0,0.0,0.0,0.0,700103.0,50.0,700102.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9067.0,1,1960.0,7.0,2538.0,25.0,1.0,2.0,3.0,3.0,6.0,12.0,2.0,2.0
0,100.0,2.0,0.0,321099.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730111.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69482.0,1,1965.0,7.0,2883.0,25.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0
0,1.0,1.0,0.0,270603.0,33.0,321026.0,33.0,321005.0,34.0,0.0,0.0,0.0,0.0,730116.0,33.0,730204.0,33.0,730215.0,34.0,0.0,0.0,0.0,0.0,1797.0,1,1960.0,4.0,2678.0,25.0,1.0,3.0,2.0,7.0,0.0,8.0,4.0,0.0
1,21.0,4.0,0.0,300903.0,33.0,370499.0,33.0,370106.0,34.0,0.0,0.0,0.0,0.0,759900.0,33.0,770802.0,33.0,740301.0,34.0,0.0,0.0,0.0,0.0,26882.0,1,1950.0,7.0,2523.0,25.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0
1,2.0,1.0,6.0,300508.0,40.0,270201.0,40.0,270899.0,20.0,0.0,0.0,0.0,0.0,780105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69517.0,2,1950.0,7.0,1258.0,34.0,1.0,2.0,0.0,0.0,6.0,4.0,6.0,32.0
0,24.0,3.0,1.0,380103.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592577.0,1,1975.0,0.0,2558.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,148.0,3.0,1.0,270103.0,20.0,270106.0,40.0,321015.0,40.0,0.0,0.0,0.0,0.0,730108.0,40.0,730105.0,30.0,730115.0,30.0,0.0,0.0,0.0,0.0,15282.0,1,1965.0,7.0,2713.0,25.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0
0,12.0,3.0,0.0,370107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759999.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25947.0,1,1960.0,7.0,1038.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0,62.0,2.0,0.0,321021.0,40.0,321204.0,30.0,320799.0,30.0,0.0,0.0,0.0,0.0,730211.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9067.0,1,1960.0,7.0,2538.0,25.0,1.0,2.0,3.0,3.0,6.0,12.0,2.0,2.0
1,2.0,1.0,7.0,291801.0,60.0,291804.0,30.0,291802.0,10.0,0.0,0.0,0.0,0.0,671403.0,40.0,671402.0,30.0,671401.0,30.0,0.0,0.0,0.0,0.0,4902.0,1,1950.0,7.0,2053.0,19.0,1.0,3.0,1.0,0.0,1.0,3.0,4.0,1.0
1,138.0,3.0,0.0,330305.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740301.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78947.0,1,1960.0,7.0,2553.0,25.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0
0,0.0,0.0,0.0,270299.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730108.0,80.0,780105.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20927.0,1,1965.0,7.0,2578.0,25.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0
0,60.0,5.0,0.0,270603.0,50.0,321004.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730106.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1797.0,1,1960.0,4.0,2678.0,25.0,1.0,3.0,2.0,7.0,0.0,8.0,4.0,0.0
0,143.0,3.0,0.0,400303.0,80.0,400301.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,750802.0,80.0,750901.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,39817.0,1,1955.0,7.0,653.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
0,60.0,5.0,4.0,320702.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69032.0,3,1965.0,7.0,2538.0,25.0,1.0,4.0,1.0,2.0,4.0,2.0,3.0,1.0
1,4.0,1.0,0.0,320702.0,20.0,321013.0,20.0,321020.0,20.0,321021.0,20.0,321204.0,20.0,670502.0,25.0,730104.0,25.0,730203.0,25.0,730211.0,25.0,0.0,0.0,69262.0,1,1960.0,7.0,2653.0,25.0,1.0,5.0,1.0,0.0,7.0,5.0,7.0,7.0
0,24.0,3.0,1.0,330107.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740201.0,40.0,740401.0,40.0,740102.0,20.0,0.0,0.0,0.0,0.0,4247.0,1,1950.0,7.0,2298.0,46.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2.0,1.0,0.0,260109.0,50.0,260602.0,40.0,260112.0,10.0,0.0,0.0,0.0,0.0,780104.0,60.0,770101.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5287.0,1,1960.0,7.0,3123.0,31.0,1.0,4.0,2.0,1.0,8.0,3.0,1.0,0.0
0,148.0,3.0,1.0,270104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66887.0,1,1955.0,7.0,2813.0,25.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,0.0
0,0.0,0.0,1.0,270201.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630104.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70662.0,1,1970.0,7.0,3268.0,31.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
0,90.0,6.0,0.0,321004.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,730105.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69812.0,1,1960.0,7.0,2813.0,25.0,0.0,3.0,1.0,5.0,10.0,7.0,9.0,1.0
0,2.0,1.0,5.0,300105.0,50.0,270703.0,30.0,291002.0,20.0,0.0,0.0,0.0,0.0,770802.0,50.0,770202.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,35382.0,1,1970.0,7.0,2103.0,19.0,0.0,1.0,0.0,1.0,4.0,9.0,0.0,0.0
0,0.0,0.0,2.0,321028.0,50.0,270108.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730114.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149767.0,1,1975.0,7.0,2828.0,25.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
0,18.0,7.0,0.0,321216.0,50.0,321299.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,730201.0,50.0,730399.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,63562.0,1,1940.0,7.0,2523.0,25.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,2.0
